Name :- TEST CUSTOMER
Joint Holder :- -
TEST ADDRESS LINE 1
TEST ADDRESS LINE 2
TEST CITY-000000
TEST STATE-INDIA
Currency :- INR
Customer ID :- 000000000
IFSC Code :- UTIB0000000
MICR Code :- 000000000
Nominee Registered :- Y

Registered Mobile No :- XXXXXX0000
Registered Email ID :- test@example.com
PAN :- AAAAA0000A
CKYC NUMBER :- XXXXXXXXXX0000

Statement of Account No - 920000000000000 for the period (From : 03-01-2026  To : 03-07-2026) 

Tran Date,CHQNO,PARTICULARS,DR,CR,BAL,SOL
24-03-2026,-,TEST/P2A/TEST/TEST/TEST/TEST/Oth, ,             72000.00,           501455.89,4437
24-03-2026,-,TEST/P2A/TEST/TEST/TEST/TEST/Oth, ,             48000.00,           453455.89,4437
25-03-2026,-,UPI/P2A/000000000027/TEST PAYEE 027       /NO REM/Kotak Mahindra Bank, ,               624.00,           452831.89,4437
26-03-2026,-,ECOM PUR/TEST MERCHANT 028/TESTCITY/010126/00:00/000028, ,               587.50,           452244.39,4437
28-03-2026,-,UPI/P2A/000000000029/TEST PAYEE 029       /C1202/AIRTEL PAYMENTS BANK, ,             24000.00,           428244.39,4437
28-03-2026,-,UPI/P2A/000000000030/TEST PAYEE 030       /NO REM/State Bank Of India, ,               200.00,           428044.39,4437
29-03-2026,-,TEST/P2A/TEST/TEST/TEST/TEST/, ,            100000.00,           328044.39,4437
31-03-2026,-,UPI/P2A/000000000032/TEST PAYEE 032       /C1202/UNION BANK OF INDIA, ,              8000.00,           320044.39,4437
31-03-2026,-,Int.Pd,               400.00, ,           320444.39,4437
03-04-2026,-,TEST/P2A/TEST/TEST/TEST/TEST/, ,            100000.00,           220444.39,4437
03-04-2026,-,UPI/P2A/000000000035/TEST PAYEE 035       /C1202/UNION BANK OF INDIA, ,              9000.00,           211444.39,4437
04-04-2026,-,UPI/P2A/000000000036/TEST PAYEE 036       /NO REM/IDBI BANK, ,             12500.00,           198944.39,4437
04-04-2026,-,UPI/P2M/000000000037/TEST MERCHANT 037/NO REM/YES BANK LIMITED YBS, ,               122.00,           198822.39,4437
04-04-2026,-,UPI/P2A/000000000038/TEST PAYEE 038       /NO REM/UTTAR PRADESH GRAMIN, ,                61.00,           198761.39,4437
04-04-2026,-,UPI/P2M/000000000039/TEST MERCHANT 039/NO REM/YES BANK LIMITED YBS, ,                56.00,           198705.39,4437
04-04-2026,-,UPI/P2A/000000000040/TEST PAYEE 040       /NO REM/CANARA BANK, ,               201.00,           198504.39,4437
04-04-2026,-,UPI/P2A/000000000041/TEST PAYEE 041       /NO REM/HDFC BANK LTD, ,             38000.00,           160504.39,4437
05-04-2026,-,UPI/P2A/000000000042/TEST PAYEE 042       /NO REM/INDIAN BANK, ,               500.00,           160004.39,4437
06-04-2026,-,UPI/P2A/000000000043/TEST PAYEE 043       /NO REM/Kotak Mahindra Bank, ,                55.00,           159949.39,4437
06-04-2026,-,UPI/P2A/000000000044/TEST PAYEE 044       /NO REM/IDBI BANK, ,             71000.00,            88949.39,4437
06-04-2026,-,UPI/P2M/000000000045/TEST MERCHANT 045/NO REM/YES BANK LIMITED YBS, ,               150.00,            88799.39,4437
06-04-2026,-,UPI/P2M/000000000046/TEST MERCHANT 046/NO REM/YES BANK LIMITED YBS, ,              3500.00,            85299.39,4437
06-04-2026,-,UPI/P2A/000000000047/TEST PAYEE 047       /NO REM/State Bank Of India, ,              4000.00,            81299.39,4437
07-04-2026,-,UPI/P2A/000000000048/TEST PAYEE 048       /NO REM/State Bank Of India, ,              2250.00,            79049.39,4437
08-04-2026,-,UPI/P2A/000000000049/TEST PAYEE 049       /NO REM/ICICI Bank, ,              3000.00,            76049.39,4437
12-04-2026,-,UPI/P2A/000000000050/TEST PAYEE 050       /NO REM/IDBI BANK, ,             32000.00,            44049.39,4437
14-04-2026,-,UPI/P2M/000000000051/TEST MERCHANT 051/NO REM/Amazon RBL, ,               293.00,            43756.39,4437
16-04-2026,-,UPI/P2M/000000000052/TEST MERCHANT 052/HDFC BANK/Executio//P2V/, ,               149.00,            43607.39,4437
17-04-2026,-,UPI/P2A/000000000053/TEST PAYEE 053       /NO REM/FEDERAL BANK, ,               550.00,            43057.39,4437
17-04-2026,-,UPI/P2M/000000000054/TEST MERCHANT 054/NO REM/Kotak Mahindra Bank, ,               200.00,            42857.39,4437
17-04-2026,-,UPI/P2M/000000000055/TEST MERCHANT 055/NO REM/YES BANK LIMITED YBS, ,               140.00,            42717.39,4437
17-04-2026,-,UPI/P2M/000000000056/TEST MERCHANT 056/NO REM/YES BANK LIMITED YBS, ,               100.00,            42617.39,4437
18-04-2026,-,UPI/P2M/000000000057/TEST MERCHANT 057/NO REM/BALANCEHERO INDIA PR, ,                72.00,            42545.39,4437
18-04-2026,-,TEST/P2A/TEST/TEST/TEST/TEST/, ,             42545.00,                 .39,4437
26-04-2026,-,TEST/P2A/TEST/TEST/TEST/TEST/TEST,            455521.00, ,           455521.39,4437
26-04-2026,-,CreditCard Payment XX 0000 Ref#TESTREF060, ,            378376.08,            77145.31,4437
26-04-2026,-,TEST/P2A/TEST/TEST/TEST/TEST/, ,              4000.00,            73145.31,4437
26-04-2026,-,TEST/P2A/TEST/TEST/TEST/TEST/, ,              1000.00,            72145.31,4437
26-04-2026,-,MOB/TEST/TEST/TEST, ,             49579.61,            22565.70,4437
29-04-2026,-,UPI/P2M/000000000064/TEST MERCHANT 064/Sent u/HDFC BANK LTD, ,              1000.00,            21565.70,4437
01-05-2026,-,UPI/P2A/000000000065/TEST PAYEE 065       /NO REM/Punjab National Bank, ,               530.00,            21035.70,4437
02-05-2026,-,UPI/P2M/000000000066/TEST MERCHANT 066/Sent u/SBI PAYMENT SERVICES, ,               162.50,            20873.20,4437
03-05-2026,-,UPI/P2M/000000000067/TEST MERCHANT 067/NO REM/YES BANK LIMITED YBS, ,              2200.00,            18673.20,4437
11-05-2026,-,UPI/P2M/000000000068/TEST MERCHANT 068/NO REM/YES BANK LIMITED YBS, ,              1152.00,            17521.20,4437
16-05-2026,-,UPI/P2M/000000000069/TEST MERCHANT 069/HDFC BANK/Executio//P2V/, ,               149.00,            17372.20,4437
16-05-2026,-,UPI/P2A/000000000070/TEST PAYEE 070       /NO REM/IDBI BANK, ,              3500.00,            13872.20,4437
19-05-2026,-,UPI/P2M/000000000071/TEST MERCHANT 071/Sent u/YES BANK LIMITED YBS, ,                32.00,            13840.20,4437
22-05-2026,-,UPI/P2A/000000000072/TEST PAYEE 072       /NO REM/IDBI BANK, ,              1150.00,            12690.20,4437
25-05-2026,-,TEST/TEST/TEST TEST/TEST TEST///RDA TEST TEST TEST,            767590.00, ,           780280.20,248
25-05-2026,-,CreditCard Payment XX 0000 Ref#TESTREF074, ,            696900.54,            83379.66,4437
25-05-2026,-,TEST/P2A/TEST/TEST TEST/TEST/TEST/, ,             83379.00,                 .66,4437
06-06-2026,-,TEST/P2A/TEST/TEST/TEST/TEST/TEST,               600.00, ,              600.66,4437
06-06-2026,-,ECOM PUR/TEST MERCHANT 077/TESTCITY/010126/00:00/000077, ,               547.50,               53.16,4437
28-06-2026,-,TEST/TEST/TEST TEST/TEST TEST///RDA TEST TEST TEST,            800730.00, ,           800783.16,248
28-06-2026,-,TEST/P2A/TEST/TEST/TEST/TEST/, ,            113137.00,           687646.16,4437
01-07-2026,-,Int.Pd,               306.00, ,           687952.16,4437
02-07-2026,-,CreditCard Payment XX 0000 Ref#TESTREF081, ,            687952.00,                 .16,4437

Unless the constituent notifies the bank immediately of any discrepancy found by him/her in this statement of Account, it will be taken that he/she has found the account correct.

The closing balance as shown/displayed includes not only the credit balance and / or overdraft limit, but also funds which are under clearing. It excludes the amount marked as lien, if any. Hence the closing balance displayed may not be the effective available balance. For any further clarifications, please contact the Branch.

We would like to reiterate that, as a policy, Axis Bank never asks you to share, disclose, or revalidate your login Id, password or debit card number  number through emails OR phone call Further,we would like to reiterate that Axis Bank shall not be liable for any losses arising from you sharing/disclosing of your login id, password and debit card number to anyone. Please co-operate by forwarding all such suspicious/spam emails, if received by you, to customer.service@axis.bank.in

With effect from 1st August 2016, the replacement charges for Debit card and ATM card applicable on Current accounts have been revised. To know more about the applicable charges,please visit www.axis.bank.in

Deposit Insurance and Credit Guarantee Corporation (DICGC) insurance cover is applicable in all Banks' deposits, such as savings, current, fixed, recurring etc* up to maximum amount of Rs 5 Lakh including principal & interest both* (* or exceptions and details please refer www.dicgc.org.in )

In compliance with regulatory guidelines, the non-CTS cheque books attached to the accounts would be destroyed in banks core banking System. Thus, Non CTS cheques will not be valid for CASH, Clearing and Transfer transactions

To ensure you never miss any critical communication from us, it is important that your latest / correct mobile number and email ID are updated in our records. Kindly visit your nearest Axis Bank Loan Centre /Branch / Agri area office for updating your latest / correct mobile number and email ID in our records. You can also update your email ID using Internet Banking & Mobile Banking App, open

REGISTERED OFFICE - AXIS BANK LTD,TRISHUL,Opp. Samartheswar Temple, Near Law Garden, Ellisbridge, Ahmedabad . 380006.

BRANCH ADDRESS - AXIS BANK LTD, , GROUND FLOOR, PLOT NO. B-1/6, SECTOR 1, CHITRAKOOT SCHEME, GANDHI PATH, CHITRAKOOT,  ,  302021,  JAIPUR,  RAJASTHAN, INDIA, TEL:8452944371  FAX:

Legends : 
ICONN-Transaction trough Internet Banking
VMT-ICON-Visa Money Transfer through Internet Banking
AUTOSWEEP-Transfer to linked fixed deposit
REV SWEEP-Interest on Linked fixed Deposit
SWEEP TRF-Transfer from Linked Fixed Deposit
VMT-Visa Money Transfer through ATM
CWDR-Cash Withdrawal through ATM
PUR-POS purchase
TIP/ SCG-Surcharge on usage of debit card at pumps/railway ticket purchase or hotel tips
ICONN-Transaction trough Internet Banking
RATE.DIFF-Difference in rates on usage of card internationally
CLG-Cheque Clearing Transaction
EDC-Credit transaction through EDC Machine
SETU-Seamless electronic fund transfer through AXIS Bank
Int.pd-Interest paid to customer
Int.Coll-Interest collected from the customer

This is a system generated output and requires no signature.

